player_id,position,adp
nfl:p030,RB,1
nfl:p033,RB,2
nfl:p027,RB,3
nfl:p035,RB,4
nfl:p095,WR,5
nfl:p089,WR,6
nfl:p028,RB,7
nfl:p092,WR,8
nfl:p029,RB,9
nfl:p094,WR,10
nfl:p105,WR,11
nfl:p090,WR,12
nfl:p099,WR,13
nfl:p102,WR,14
nfl:p098,WR,15
nfl:p091,WR,16
nfl:p109,WR,17
nfl:p031,RB,18
nfl:p041,RB,19
nfl:p047,RB,20
nfl:p093,WR,21
nfl:p034,RB,22
nfl:p032,RB,23
nfl:p049,RB,24
nfl:p040,RB,25
nfl:p167,TE,26
nfl:p005,QB,27
nfl:p038,RB,28
nfl:p001,QB,29
nfl:p052,RB,30
nfl:p096,WR,31
nfl:p037,RB,32
nfl:p120,WR,33
nfl:p003,QB,34
nfl:p039,RB,35
nfl:p036,RB,36
nfl:p112,WR,37
nfl:p104,WR,38
nfl:p046,RB,39
nfl:p097,WR,40
nfl:p008,QB,41
nfl:p101,WR,42
nfl:p042,RB,43
nfl:p111,WR,44
nfl:p169,TE,45
nfl:p053,RB,46
nfl:p100,WR,47
nfl:p107,WR,48
nfl:p007,QB,49
nfl:p170,TE,50
nfl:p168,TE,51
nfl:p124,WR,52
nfl:p174,TE,53
nfl:p044,RB,54
nfl:p002,QB,55
nfl:p043,RB,56
nfl:p127,WR,57
nfl:p103,WR,58
nfl:p106,WR,59
nfl:p123,WR,60
nfl:p058,RB,61
nfl:p165,TE,62
nfl:p056,RB,63
nfl:p059,RB,64
nfl:p115,WR,65
nfl:p004,QB,66
nfl:p126,WR,67
nfl:p176,TE,68
nfl:p055,RB,69
nfl:p116,WR,70
nfl:p110,WR,71
nfl:p171,TE,72
nfl:p119,WR,73
nfl:p113,WR,74
nfl:p045,RB,75
nfl:p006,QB,76
nfl:p108,WR,77
nfl:p166,TE,78
nfl:p130,WR,79
nfl:p114,WR,80
nfl:p178,TE,81
nfl:p125,WR,82
nfl:p048,RB,83
nfl:p009,QB,84
nfl:p118,WR,85
nfl:p129,WR,86
nfl:p051,RB,87
nfl:p015,QB,88
nfl:p061,RB,89
nfl:p122,WR,90
nfl:p177,TE,91
nfl:p050,RB,92
nfl:p011,QB,93
nfl:p057,RB,94
nfl:p173,TE,95
nfl:p065,RB,96
nfl:p117,WR,97
nfl:p172,TE,98
nfl:p128,WR,99
nfl:p131,WR,100
nfl:p183,TE,101
nfl:p054,RB,102
nfl:p062,RB,103
nfl:p136,WR,104
nfl:p132,WR,105
nfl:p181,TE,106
nfl:p175,TE,107
nfl:p147,WR,108
nfl:p010,QB,109
nfl:p121,WR,110
nfl:p141,WR,111
nfl:p073,RB,112
nfl:p148,WR,113
nfl:p014,QB,114
nfl:p146,WR,115
nfl:p067,RB,116
nfl:p063,RB,117
nfl:p179,TE,118
nfl:p137,WR,119
nfl:p012,QB,120
nfl:p134,WR,121
nfl:p017,QB,122
nfl:p149,WR,123
nfl:p013,QB,124
nfl:p064,RB,125
nfl:p068,RB,126
nfl:p077,RB,127
nfl:p060,RB,128
nfl:p139,WR,129
nfl:p142,WR,130
nfl:p145,WR,131
nfl:p140,WR,132
nfl:p143,WR,133
nfl:p016,QB,134
nfl:p180,TE,135
nfl:p070,RB,136
nfl:p081,RB,137
nfl:p184,TE,138
nfl:p185,TE,139
nfl:p019,QB,140
nfl:p182,TE,141
nfl:p084,RB,142
nfl:p071,RB,143
nfl:p135,WR,144
nfl:p133,WR,145
nfl:p187,TE,146
nfl:p066,RB,147
nfl:p152,WR,148
nfl:p155,WR,149
nfl:p078,RB,150
nfl:p076,RB,151
nfl:p192,TE,152
nfl:p022,QB,153
nfl:p018,QB,154
nfl:p069,RB,155
nfl:p186,TE,156
nfl:p087,RB,157
nfl:p156,WR,158
nfl:p075,RB,159
nfl:p150,WR,160
nfl:p138,WR,161
nfl:p020,QB,162
nfl:p154,WR,163
nfl:p158,WR,164
nfl:p190,TE,165
nfl:p024,QB,166
nfl:p194,TE,167
nfl:p086,RB,168
nfl:p157,WR,169
nfl:p072,RB,170
nfl:p164,WR,171
nfl:p160,WR,172
nfl:p074,RB,173
nfl:p023,QB,174
nfl:p144,WR,175
nfl:p161,WR,176
nfl:p085,RB,177
nfl:p151,WR,178
nfl:p153,WR,179
nfl:p162,WR,180
nfl:p189,TE,181
nfl:p188,TE,182
nfl:p021,QB,183
nfl:p163,WR,184
nfl:p083,RB,185
nfl:p079,RB,186
nfl:p193,TE,187
nfl:p025,QB,188
nfl:p082,RB,189
nfl:p159,WR,190
nfl:p080,RB,191
nfl:p191,TE,192
nfl:p088,RB,193
nfl:p026,QB,194
nfl:p196,TE,195
nfl:p195,TE,196
